Argile(%);Limon(%);Sable(%);Soil Texture
8;21;71;Sandy loam
7;24;69;Sandy loam
7;24;69;Sandy loam
10;19;71;Sandy loam
5;21;74;Sandy loam
4;20;76;Loamy sand
10;26;64;Sandy loam
4;23;73;Sandy loam
11;20;70;Sandy loam
30;28;42;Clay loam
5;23;72;Sandy loam
35;18;47;Sandy clay
7;21;72;Sandy loam
24;23;53;Sandy clay loam
23;25;53;Sandy clay loam
23;22;55;Sandy clay loam
25;35;39;Loam
10;27;63;Sandy loam
18;26;56;Sandy loam
22;27;51;Sandy clay loam
12;28;59;Sandy loam
17;25;58;Sandy loam
19;29;52;Loam
31;16;53;Sandy clay loam
34;33;32;Clay loam
14;21;64;Sandy loam
9;18;73;Sandy loam
9;22;69;Sandy loam
24;20;57;Sandy clay loam
3;18;78;Loamy sand
14;17;69;Sandy loam
6;23;71;Sandy loam
15;22;62;Sandy loam
8;13;79;Loamy sand
5;11;84;Loamy sand
7;17;76;Sandy loam
11;18;71;Sandy loam
7;24;69;Sandy loam
7;18;75;Sandy loam
6;15;79;Loamy sand
7;20;73;Sandy loam
9;19;72;Sandy loam
7;19;74;Sandy loam
14;22;64;Sandy loam
13;21;66;Sandy loam
14;37;49;Loam
8;19;73;Sandy loam
9;19;72;Sandy loam
12;31;57;Sandy loam
18;35;47;Loam
16;29;55;Sandy loam
9;19;73;Sandy loam
12;19;70;Sandy loam
9;30;61;Sandy loam
14;32;54;Sandy loam
4;13;83;Loamy sand
18;19;63;Sandy loam
6;13;81;Loamy sand
5;15;80;Loamy sand
3;12;85;Loamy sand
2;12;86;Sand
4;13;83;Loamy sand
6;13;80;Loamy sand
6;17;77;Loamy sand
12;30;58;Sandy loam
11;13;76;Sandy loam
8;13;79;Loamy sand
7;12;81;Loamy sand
10;16;73;Sandy loam
8;15;77;Sandy loam
10;20;70;Sandy loam
14;24;62;Sandy loam
11;19;70;Sandy loam
11;25;64;Sandy loam
12;22;66;Sandy loam
25;38;37;Loam
18;31;51;Loam
40;22;38;Clay loam
16;23;61;Sandy loam
8;27;65;Sandy loam
46;26;28;Clay
32;22;45;Sandy clay loam
47;20;33;Clay
42;26;32;Clay
39;27;34;Clay loam
18;19;63;Sandy loam
33;22;45;Clay loam
7;13;80;Loamy sand
39;19;42;Clay loam
29;18;53;Sandy clay loam
33;24;42;Clay loam
27;17;56;Sandy clay loam
6;10;83;Loamy sand
15;17;69;Sandy loam
7;19;74;Sandy loam
10;13;77;Sandy loam
10;17;73;Sandy loam
13;15;73;Sandy loam
13;12;75;Sandy loam
10;7;82;Loamy sand
9;10;81;Loamy sand
8;15;77;Sandy loam
11;14;75;Sandy loam
20;21;60;Sandy loam
21;18;61;Sandy clay loam
17;20;63;Sandy loam
16;22;62;Sandy loam
24;21;55;Sandy clay loam
30;13;57;Sandy clay loam
11;13;76;Sandy loam
19;19;63;Sandy loam
16;26;58;Sandy loam
10;14;76;Sandy loam
16;29;55;Sandy loam
31;22;47;Sandy clay loam
14;21;65;Sandy loam
7;22;70;Sandy loam
12;18;69;Sandy loam
27;24;49;Sandy clay loam
6;22;72;Sandy loam
9;16;76;Sandy loam
16;25;59;Sandy loam
14;18;68;Sandy loam
24;23;53;Sandy clay loam
14;28;58;Sandy loam
18;35;47;Loam
12;28;60;Sandy loam
21;30;49;Loam
15;29;56;Sandy loam
13;24;63;Sandy loam
10;31;59;Sandy loam
4;14;82;Loamy sand
10;22;68;Sandy loam
23;34;43;Loam
15;26;59;Sandy loam
20;20;60;Sandy clay loam
7;17;76;Sandy loam
8;15;78;Sandy loam
5;12;84;Loamy sand
26;27;47;Sandy clay loam
5;20;75;Loamy sand
18;29;53;Sandy loam
17;34;48;Loam
17;33;50;Loam
31;35;35;Clay loam
22;40;38;Loam
24;40;37;Loam
20;34;47;Loam
17;25;59;Sandy loam
14;24;61;Sandy loam
12;18;70;Sandy loam
4;18;79;Loamy sand
10;19;71;Sandy loam
11;14;74;Sandy loam
18;22;59;Sandy loam
11;15;75;Sandy loam
12;25;63;Sandy loam
10;17;73;Sandy loam
10;20;70;Sandy loam
15;18;66;Sandy loam
19;20;61;Sandy loam
25;36;39;Loam
10;25;65;Sandy loam
13;18;68;Sandy loam
21;17;62;Sandy clay loam
18;20;61;Sandy loam
13;28;59;Sandy loam
15;17;68;Sandy loam
13;21;65;Sandy loam
16;13;71;Sandy loam
15;20;65;Sandy loam
9;15;76;Sandy loam
20;20;60;Sandy clay loam
9;19;72;Sandy loam
15;25;60;Sandy loam
5;19;76;Loamy sand
7;14;79;Loamy sand
12;23;65;Sandy loam
22;27;52;Sandy clay loam
24;25;51;Sandy clay loam
28;29;44;Clay loam
21;25;53;Sandy clay loam
45;22;33;Clay
22;28;49;Loam
36;19;45;Sandy clay
27;24;50;Sandy clay loam
31;32;37;Clay loam
21;27;52;Sandy clay loam
17;28;55;Sandy loam
37;19;44;Clay loam
15;21;64;Sandy loam
11;16;72;Sandy loam
4;12;84;Loamy sand
42;14;44;Clay
14;28;58;Sandy loam
15;20;66;Sandy loam
31;21;48;Sandy clay loam
14;17;68;Sandy loam
7;22;72;Sandy loam
30;25;45;Clay loam
36;22;42;Clay loam
40;20;40;Clay loam
30;34;36;Clay loam
44;27;29;Clay
7;19;74;Sandy loam
43;20;38;Clay
10;26;64;Sandy loam
33;26;41;Clay loam
12;30;58;Sandy loam
7;15;78;Loamy sand
17;20;63;Sandy loam
5;22;73;Sandy loam
7;25;69;Sandy loam
4;15;81;Loamy sand
15;20;65;Sandy loam
14;23;63;Sandy loam
9;22;69;Sandy loam
12;18;70;Sandy loam
4;21;75;Loamy sand
8;22;70;Sandy loam
10;18;73;Sandy loam
20;24;55;Sandy clay loam
10;18;72;Sandy loam
8;16;76;Sandy loam
23;22;55;Sandy clay loam
15;26;59;Sandy loam
45;25;29;Clay
17;29;55;Sandy loam
5;18;77;Loamy sand
27;25;47;Sandy clay loam
17;20;63;Sandy loam
16;19;65;Sandy loam
28;25;47;Sandy clay loam
12;33;56;Sandy loam
15;27;57;Sandy loam
9;29;62;Sandy loam
7;20;73;Sandy loam
19;26;56;Sandy loam
11;28;61;Sandy loam
13;21;66;Sandy loam
9;28;63;Sandy loam
17;19;64;Sandy loam
15;11;74;Sandy loam
9;14;76;Sandy loam
17;19;64;Sandy loam
6;12;82;Loamy sand
10;14;76;Sandy loam
6;12;83;Loamy sand
9;13;78;Sandy loam
10;15;75;Sandy loam
9;15;77;Sandy loam
35;26;40;Clay loam
12;15;73;Sandy loam
21;18;61;Sandy clay loam
10;15;75;Sandy loam
19;19;62;Sandy loam
22;18;60;Sandy clay loam
21;18;60;Sandy clay loam
25;17;58;Sandy clay loam
35;22;42;Clay loam
29;22;49;Sandy clay loam
42;19;39;Clay
30;21;49;Sandy clay loam
29;32;39;Clay loam
32;22;46;Sandy clay loam
27;26;48;Sandy clay loam
40;22;38;Clay
32;25;43;Clay loam
22;30;49;Loam
13;17;70;Sandy loam
10;20;70;Sandy loam
32;25;44;Clay loam
14;27;60;Sandy loam
15;20;64;Sandy loam
34;22;43;Clay loam
11;14;75;Sandy loam
21;15;63;Sandy clay loam
16;22;62;Sandy loam
